2026-09-20T00:17:56-03:00 | npm create next-app
2026-09-20T00:19:44-03:00 | npm install
2026-09-20T00:20:29-03:00 | npm install retry
2026-09-20T00:23:28-03:00 | npm run dev
2026-09-20T00:24:05-03:00 | npm install next
2026-09-20T00:24:39-03:00 | npm run dev retry
2026-09-20T00:25:33-03:00 | npm install next@15.5.0 eslint-config-next@15.5.0
2026-09-20T00:27:02-03:00 | npm run dev after next downgrade
2026-09-20T00:27:29-03:00 | npm install caniuse-lite
2026-09-20T00:27:54-03:00 | rm -rf node_modules package-lock.json && npm install
